record_id,Id,CreatedAt,UpdatedAt,user_id,title,start_time,end_time,category_id,status,type,parent_id,tags,checklist,note
4ccSgJCThtf81bGzScJq,68,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Astra plannin,2026-02-28 11:28:00+00,2026-02-28 12:04:00+00,,completed,record,,,,
4HOlOHcQXR76lXlD9XJz,69,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,age solutions,2026-03-13 15:02:35.303+00,2026-03-13 15:03:37.979+00,,completed,record,,,,
4OeYkWdyovX95QGf6JWL,70,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,laredi ts call,2026-03-12 19:57:33.378+00,2026-03-12 19:57:26.553+00,,stopped,record,,,,
4oMEcwHSfMtFkqu73zWf,71,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,ball office products add,2026-02-25 01:31:00+00,2026-02-25 01:43:00+00,,completed,record,,,,
55156644-706d-4d05-8e3f-d22027190a6a,72,2026-03-18 17:52:55+00:00,2026-03-21 01:09:39+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,туалет,2026-03-16 06:42:47.511421+00,2026-03-21T01:09:34.215Z,toilet,stopped,record,,,,
59c04cde-939b-4b4a-af0d-8b0e09ee5246,73,2026-03-18 17:52:55+00:00,2026-03-21 01:09:39+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,vibecoding,2026-03-14 00:14:49.135+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
5a95069f-4d54-414a-8797-d6d726fc2f5e,74,2026-03-18 17:52:55+00:00,2026-03-21 01:09:40+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,дома вечер,2026-03-14 17:04:26.931+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
5aYsWQCypOzRhAxErppD,75,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Фильм с любовью рози,2026-03-13 14:11:48.356293+00,2026-03-13 14:11:50.585+00,,completed,record,vIaMlVxLAhnQBBPqb7Kx,,,
5b04cdd7-f921-44f5-8fe9-8218282f57c1,76,2026-03-18 17:52:55+00:00,2026-03-21 01:09:40+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,покупка часов,2026-03-16 05:53:41.707749+00,2026-03-21T01:09:34.215Z,cd8517fc-6576-43d3-8b53-c22a04bd067f,stopped,record,,,,
5D8YXFnk5c865a4aHOex,77,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Laredo ts plan,2026-03-13 19:45:09.272+00,2026-03-13 20:54:05.899+00,,stopped,record,,,,
5eb7aabd-7f5a-4298-b612-d0504043c82c,78,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Кафе Fabiani с мамой,2026-03-14 13:20:08.107475+00,2026-03-14 15:04:26.662137+00,,running,record,f54691d0-4a52-486a-9e66-3961e24ae918,,,
5haN4hiebBYVLNhyB0fd,79,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,easy crypt logo work,2026-03-12 12:57:14.843+00,2026-03-12 13:09:22.445+00,,stopped,record,,,,
5KlJsOKklHvgDHI5N1va,80,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,ouraring account check,2026-02-27 16:55:00+00,2026-02-27 17:24:00+00,,completed,record,,,,
5vTm3xHkA3ZVOOo40QFk,81,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,дома в сочи,2026-03-01 13:10:00+00,2026-03-01 14:30:00+00,,completed,record,,,,
6069a086-7421-46e0-93c5-48703f14ad90,82,2026-03-18 17:52:55+00:00,2026-03-21 01:09:41+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,вайбкодинг,2026-03-16 06:10:00.99129+00,2026-03-21T01:09:34.215Z,vibecoding,stopped,record,,,,
60b8ed98-664b-45ae-b5ca-732daf8d8005,83,2026-03-18 17:52:55+00:00,2026-03-21 01:09:41+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,туалет,2026-03-16 05:25:29.94939+00,2026-03-21T01:09:34.215Z,toilet,stopped,record,,,,
67de0985-05e4-4315-92fa-bc2586235fcf,84,2026-03-18 17:52:55+00:00,2026-03-21 01:09:41+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Astra design,2026-03-16 11:35:24.495495+00,2026-03-21T01:09:34.215Z,astra,stopped,record,,,,
6e11e64c-04ad-4912-9380-e15eec2989d2,85,2026-03-18 17:52:55+00:00,2026-03-21 01:09:42+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Atozed clients,2026-03-14 09:04:29.253084+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
